gem_tracker,gem_source_file,asset_group,gem_id,location_id,name,unit,capacity_mw,status,start_year,retired_year,fuel_type,technology,fuel_detail,captive_type,captive_use,is_captive,operator,owner,lat,lon,province_gem,ch4_reported,cmm_co2e_100,capacity_mtpa
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926530,L100000921538,Geres wind farm,--,30,operating,NA,NA,wind,Onshore,NA,NA,NA,FALSE,Geres Elektrik Üretim,NA,39.2095,27.8989,Istanbul,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926531,L100000921539,Geris wind farm,--,12,operating,2017,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Rüzgar Elektrik Üretim AS [100%],37.0761,27.282,Mugla,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926532,L100000921540,Germiyan wind farm,--,12,operating,2016,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Egenda Ege Enerji Ür AS [100%],38.3285,26.4376,Izmir,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926533,L100000921541,Geycek wind farm,1A,15,operating,2013,NA,wind,Onshore,NA,NA,NA,FALSE,Al-Yel El Ür,EDF Renewables [100%],39.1237,34.4409,Kirsehir,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926534,L100000921541,Geycek wind farm,1B,90,operating,2013,NA,wind,Onshore,NA,NA,NA,FALSE,Al-Yel El Ür,EDF Renewables [100%],39.1237,34.4409,Kirsehir,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926535,L100000921541,Geycek wind farm,2A,15,operating,2014,NA,wind,Onshore,NA,NA,NA,FALSE,Al-Yel El Ür,EDF Renewables [100%],39.1237,34.4409,Kirsehir,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926536,L100000921541,Geycek wind farm,2B,48,operating,2014,NA,wind,Onshore,NA,NA,NA,FALSE,Al-Yel El Ür,EDF Renewables [100%],39.1237,34.4409,Kirsehir,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926537,L100000921542,Geyve wind farm,1,50,operating,2024,NA,wind,Onshore,NA,NA,NA,FALSE,Hacim Enerji Yatirim Üretim Ve Ticaret,Eksim Enerji Ür AS [100%],40.5659,30.4501,Sakarya,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100001020359,L100000921542,Geyve wind farm,2,100,operating,2025,NA,wind,Onshore,NA,NA,NA,FALSE,Hacim Enerji Yatirim Üretim Ve Ticaret,Eksim Enerji Ür AS [100%],40.5659,30.4501,Sakarya,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926538,L100000921543,Gök wind farm,--,36,operating,2014,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Garet En Ür Ve Tic AS [100%],39.0665,39.7808,Manisa,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926539,L100000921544,Gokceada Wind,--,78,cancelled - inferred 4 y,NA,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Agaoglu Enerji Uretim AS [100%],40.2004,25.9085,Çanakkale,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926540,L100000921545,Gökçedag wind farm,--,135,operating,2009,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Rotor El Ür AS [100%],37.1679,36.6644,Osmaniye,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100001057779,L100001050095,Gökçedağ wind farm,--,135,operating,NA,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Zorlu Renewable Energy Joint Stock Co,37.1542,36.6363,Osmaniye,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926541,L100000921546,Gökdag wind farm,--,10,operating,2018,NA,wind,Onshore,NA,NA,NA,FALSE,NA,İletken Enerji Yatırım Üretim ve Tic AS [100%],41.1344,30.288,Kocaeli,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926542,L100000921547,Göktepe wind farm,--,121.1,operating,NA,NA,wind,Onshore,NA,NA,NA,FALSE,Erguvan Enerji Elektrik Üretim,NA,40.562,28.8702,Yalova,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926543,L100000921548,Gökzirve wind farm,--,25.2,operating,2022,NA,wind,Onshore,NA,NA,NA,FALSE,Gökzirve Enerji,NA,38.4537,27.1765,NA,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926544,L100000921549,Gonen wind farm,--,12,shelved - inferred 2 y,NA,NA,wind,Onshore,NA,NA,NA,FALSE,Balay Enerji Elektrik Üretim,NA,40.0679,27.4711,NA,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926546,L100000921551,Güllük wind farm,--,33,cancelled,NA,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Yıldızlar Enerji Elektrik Üretim AS [100%],37.1106,27.536,Mugla,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926547,L100000921552,Gülpir wind farm,1,10,operating,2019,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Yelen-Gülpınar Enerji Üretim SAN VE TIC AS [100%],39.9788,26.4472,Çanakkale,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926548,L100000921552,Gülpir wind farm,2,24,operating,2020,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Yelen-Gülpınar Enerji Üretim SAN VE TIC AS [100%],39.9788,26.4472,Çanakkale,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926549,L100000921553,Gülümuşağı wind farm,--,32,cancelled,NA,NA,wind,Onshore,NA,NA,NA,FALSE,Tunna Enerji Üretimi Sanayi Ve Ticaret,NA,38.4202,38.3641,Malatya,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926550,L100000921554,Gümüstepe wind farm,--,20,shelved - inferred 2 y,NA,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Ce Res Elektrik Üretim AS [100%],40.1853,42.8109,Kars,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926552,L100000921556,Güney wind farm,1,74,operating,NA,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Sanko Enerji SAN TIC AS [100%],40.3026,28.5378,Bursa,NA,NA,NA
